point_idx,sim_idx,parcelle,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,N_lixi,DeltaCorg,Yield
9083,90,beauce_5_sa_083,3.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,3.0,97.04846549375966,-24.0,233.07444819040276,318.0010861236431,321.3870904830894,379.6824891512368,83.92128581319014,10.55069693049687,46.8627204032373,36.75833653912262,93.24366844818844,36.712082616386866,29.19,-622.78,4.13
9084,90,beauce_5_sa_084,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.42108384545219,-24.0,160.8737187280247,266.5,281.5,365.4020774340883,90.06882287927701,89.11208954089396,55.0,55.0,55.0,55.0,24.48,-603.98,4.13
9085,90,beauce_5_sa_085,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.87952254415551,-38.20919888489679,214.5,266.5,281.5,349.8324057715433,55.0,55.0,55.0,55.0,55.0,55.0,14.69,-579.21,4.08
9086,90,beauce_5_sa_086,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.09982415530251,-7.573177311938352,214.5,266.5,281.5,328.99542108714627,55.0,55.0,55.0,55.0,55.0,55.0,20.16,-603.86,3.86
9087,90,beauce_5_sa_087,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,93.61464752737416,-24.0,218.47582060845315,223.53063690426728,313.69536650729685,339.4540950985572,38.60680595071216,55.0,60.64052312913199,84.59882725670899,42.02623788955064,55.0,28.78,-636.47,4.49
9088,90,beauce_5_sa_088,2.0,1.0,1.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,58.133461086488104,-25.587260464247446,143.9910664104195,302.592827586235,281.5,323.5965384081862,65.489927617506,63.76995196437066,88.43419190856658,55.0,55.0,55.0,18.91,-584.07,3.99
9089,90,beauce_5_sa_089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.2437106831666,-24.0,214.5,266.5,281.5,381.41073996406914,55.0,55.0,55.0,55.0,55.0,55.0,27.47,-609.94,4.13
9090,90,beauce_5_sa_090,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,66.03600100361176,-24.0,285.158057592259,296.38472108071176,256.790027895983,325.9654004064158,52.398055245762784,92.42137025108396,68.25766071590203,28.083641495515536,71.96358391202106,55.0,23.11,-622.79,4.5
9091,90,beauce_5_sa_091,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.46121838950299,-24.0,161.663674513278,266.5,281.5,383.8633955948308,95.84522425120528,55.0,55.0,55.0,55.0,55.0,27.74,-605.83,3.95
9092,90,beauce_5_sa_092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.9810290997292,-24.0,214.5,266.5,281.5,372.2392569746063,55.0,55.0,55.0,55.0,55.0,55.0,29.79,-618.2,4.19
9093,90,beauce_5_sa_093,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,53.27769045792226,-24.0,279.08233396673427,266.5,281.5,369.7932105208031,19.841090915792115,36.612492330405544,55.0,55.0,55.0,55.0,25.42,-603.28,3.83
9094,90,beauce_5_sa_094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.56316545395926,-24.0,214.5,266.5,281.5,323.2138644126682,55.0,55.0,55.0,55.0,55.0,55.0,35.64,-635.29,4.4
9095,90,beauce_5_sa_095,3.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,3.0,2.0,1.0,49.153219445736944,-10.780318363023554,119.42364740534936,290.4818316001737,322.3454549382924,358.73455520921175,90.54817874477529,18.619056408991476,73.89567599132099,71.3081542624515,17.503328244570827,72.87266224472813,23.41,-610.22,3.77
9096,90,beauce_5_sa_096,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,104.18345919508378,-4.991676918887691,279.8058057166546,302.96776588843977,281.5,381.8906663694038,97.12895344783284,55.0,23.88919014539875,95.66251500726348,55.0,55.0,29.98,-616.73,4.06
9097,90,beauce_5_sa_097,2.0,1.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,70.71041507101563,-19.99213992608059,150.3018060384058,315.7035672824238,281.5,363.0235904061849,95.9092982011356,55.0,66.72334138695385,22.153309908282097,55.0,55.0,21.38,-585.29,3.99
9098,90,beauce_5_sa_098,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,82.25582411513601,-20.507706841178667,214.5,266.5,281.5,372.19903960182427,55.0,55.0,55.0,55.0,55.0,55.0,24.89,-596.26,4.11
9099,90,beauce_5_sa_099,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.619388726013774,-24.0,151.0847245933464,300.5282399139256,281.5,366.1307100450299,67.96851150570421,83.02771273075479,91.46017596191902,55.0,55.0,55.0,24.38,-591.02,3.99
