feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,Milieu (Climat),Milieu (Sol),N_lixi,dCorg,rdt,point_idx,parcelle
0,1,59.0,-14.0,3.3,24.5,10.0,259.0,383.0,393.0,357.0,10.0,10.0,10.0,0,0,1.1721052631578948,-135.52631578947367,5.293333333333333,109,beauce_5_sa_009
1,2,83.0,-24.0,1.4,7.9,8.4,113.0,383.0,393.0,349.0,48.8,10.0,10.0,0,0,3.7468421052631578,-62.48684210526316,7.640000000000001,110,beauce_5_sa_010
2,1,81.0,-13.0,2.4,5.1,10.0,220.0,260.0,393.0,323.0,43.3,13.6,10.0,0,0,1.8705263157894736,-29.44,7.69888888888889,111,beauce_5_sa_011
1,0,82.0,-20.0,2.8,15.0,10.0,305.0,383.0,393.0,349.0,66.6,10.0,10.0,0,0,5.645789473684211,-94.66631578947369,7.735555555555556,112,beauce_5_sa_012
1,0,47.0,-20.0,3.0,15.0,10.0,132.0,383.0,393.0,364.0,75.1,10.0,10.0,0,0,3.8157894736842106,-89.86684210526316,8.363333333333333,113,beauce_5_sa_013
0,0,81.0,-20.0,2.5,15.0,10.0,259.0,383.0,393.0,18.0,10.0,10.0,10.0,0,0,2.3289473684210527,-183.3421052631579,5.414444444444445,114,beauce_5_sa_014
2,0,83.0,-20.0,3.2,15.0,10.0,262.0,263.0,393.0,13.0,60.7,39.5,10.0,0,0,5.116842105263157,-66.55842105263159,8.532222222222222,115,beauce_5_sa_015
1,0,70.0,-20.0,3.5,15.0,10.0,245.0,383.0,393.0,344.0,23.6,10.0,10.0,0,0,1.4610526315789472,-104.19473684210529,6.644444444444444,116,beauce_5_sa_016
3,0,79.0,-20.0,1.2,15.0,10.0,180.0,305.0,306.0,327.0,18.0,31.8,59.2,0,0,8.906315789473684,-35.93000000000001,8.433333333333334,117,beauce_5_sa_017
1,2,55.0,-38.0,2.2,20.0,13.4,126.0,383.0,393.0,332.0,67.9,10.0,10.0,0,0,3.0910526315789473,-28.243157894736843,8.161111111111111,118,beauce_5_sa_018
