parametre,Sobol_S1,Sobol_ST,sortie,region,n_region,Q2_cv,status,part_des_points
type_f2_1,0.0,0.0,rdt,R02,2029,0.7812209183177664,ok,0.2029
nb_f3,0.0075107854742985465,0.014585031743913485,rdt,R02,2029,0.7812209183177664,ok,0.2029
type_f3_1,0.0001609286706428655,0.0014884149872546036,rdt,R02,2029,0.7812209183177664,ok,0.2029
prepa_2,0.0,4.378237590044292e-07,rdt,R02,2029,0.7812209183177664,ok,0.2029
type_f1_2,0.0,0.0,rdt,R02,2029,0.7812209183177664,ok,0.2029
type_f2_2,0.0,5.854870263061307e-07,rdt,R02,2029,0.7812209183177664,ok,0.2029
type_f3_2,0.0007899038131884015,0.00707536978776152,rdt,R02,2029,0.7812209183177664,ok,0.2029
Date_Semis,1.3331023464129809e-05,0.0001746916728073817,rdt,R02,2029,0.7812209183177664,ok,0.2029
Delta_PREPA_Semis,6.037347707595346e-06,2.645321497862062e-05,rdt,R02,2029,0.7812209183177664,ok,0.2029
Date_F1,0.0,3.9384537254100645e-07,rdt,R02,2029,0.7812209183177664,ok,0.2029
Date_F2,0.0,1.6211166322745452e-06,rdt,R02,2029,0.7812209183177664,ok,0.2029
Date_F3,0.0,1.6990409174069613e-06,rdt,R02,2029,0.7812209183177664,ok,0.2029
Date_Recolte,5.707483905403729e-05,0.00019597341700962567,rdt,R02,2029,0.7812209183177664,ok,0.2029
Dose_F1_1,0.0,5.794815866592256e-07,rdt,R02,2029,0.7812209183177664,ok,0.2029
Dose_F1_2,0.0,3.178136603224972e-06,rdt,R02,2029,0.7812209183177664,ok,0.2029
Dose_F2_1,0.0,1.3364209858806543e-06,rdt,R02,2029,0.7812209183177664,ok,0.2029
Dose_F2_2,0.0,0.9403175626778746,rdt,R02,2029,0.7812209183177664,ok,0.2029
Dose_F3_1,3.356275559977065e-07,3.753701358183337e-06,rdt,R02,2029,0.7812209183177664,ok,0.2029
Dose_F3_2,1.7971079903408558e-07,4.143057822281993e-06,rdt,R02,2029,0.7812209183177664,ok,0.2029
n_ferti,0.010517273735285462,0.07155648142244765,rdt,R03,1602,0.7946122734762505,ok,0.1602
has_prepa,0.08888764872437985,0.41058322277663595,rdt,R03,1602,0.7946122734762505,ok,0.1602
nb_prepa,0.05555478045271538,0.05555478045271538,rdt,R03,1602,0.7946122734762505,ok,0.1602
prepa_1,0.0,0.0,rdt,R03,1602,0.7946122734762505,ok,0.1602
nb_f1,0.05555478045271538,0.08959561556502015,rdt,R03,1602,0.7946122734762505,ok,0.1602
type_f1_1,0.0,1.4583456428083365e-05,rdt,R03,1602,0.7946122734762505,ok,0.1602
nb_f2,0.05555478045271538,0.3039994261070845,rdt,R03,1602,0.7946122734762505,ok,0.1602
type_f2_1,0.0,1.4596913834208848e-05,rdt,R03,1602,0.7946122734762505,ok,0.1602
nb_f3,0.05561737288191748,0.10775457925125692,rdt,R03,1602,0.7946122734762505,ok,0.1602
type_f3_1,0.0011791225379706861,0.010976696135640762,rdt,R03,1602,0.7946122734762505,ok,0.1602
prepa_2,0.0,1.515779879753359e-05,rdt,R03,1602,0.7946122734762505,ok,0.1602
type_f1_2,0.0,0.0,rdt,R03,1602,0.7946122734762505,ok,0.1602
type_f2_2,0.0,0.0,rdt,R03,1602,0.7946122734762505,ok,0.1602
type_f3_2,0.005899135557858099,0.052368474291030746,rdt,R03,1602,0.7946122734762505,ok,0.1602
Date_Semis,0.00013992963091350274,0.0014798656023678562,rdt,R03,1602,0.7946122734762505,ok,0.1602
Delta_PREPA_Semis,8.916548412801978e-05,0.0004517458156459676,rdt,R03,1602,0.7946122734762505,ok,0.1602
Date_F1,0.0,1.019593270955875e-05,rdt,R03,1602,0.7946122734762505,ok,0.1602
Date_F2,5.858098027971171e-06,2.7341379617831295e-05,rdt,R03,1602,0.7946122734762505,ok,0.1602
Date_F3,0.0,7.474849314136385e-05,rdt,R03,1602,0.7946122734762505,ok,0.1602
Date_Recolte,0.0008828070196659366,0.0018518896282420322,rdt,R03,1602,0.7946122734762505,ok,0.1602
Dose_F1_1,0.0,9.6054619911578e-06,rdt,R03,1602,0.7946122734762505,ok,0.1602
Dose_F1_2,0.006399709333539749,0.059660754733502526,rdt,R03,1602,0.7946122734762505,ok,0.1602
Dose_F2_1,0.0,1.081727187078592e-05,rdt,R03,1602,0.7946122734762505,ok,0.1602
Dose_F2_2,0.0,0.4975385947088848,rdt,R03,1602,0.7946122734762505,ok,0.1602
Dose_F3_1,1.0909912928987857e-05,2.6326470608738196e-05,rdt,R03,1602,0.7946122734762505,ok,0.1602
