sortie,parametre_A,parametre_B,R2_A,R2_B,R2_additif,R2_interaction,R2_global,p_value_additif,p_value_global,n,n_A,n_B,n_cellules,df_model_global,df_resid_global
rdt,Date_F1,Dose_F1_1,0.0002616503214622498,8.095593050912463e-05,0.00032977103613462955,0.0007784278142007883,0.0011081988503354179,0.7708038850863684,0.747074412742041,10000,4,4,16,15.0,9984.0
rdt,Date_F2,Dose_F2_1,7.672319741600563e-05,0.0007727274197186274,0.0008823772145090114,0.00022529195039533434,0.0011076691649043457,0.03171647378690398,0.04985823839644586,10000,2,3,6,5.0,9994.0
rdt,type_f2_1,Dose_F1_1,1.8295548649365763e-05,8.095593050912463e-05,0.00010230019630630416,0.0010008045631431095,0.0011031047594494137,0.9847433022510674,0.750702965771954,10000,4,4,16,15.0,9984.0
rdt,nb_f3,Dose_F2_1,0.00019854683545575681,0.0007727274197186274,0.0009887774246134517,0.0001017436850465625,0.0010905211096600143,0.01953181105971154,0.053270754568315454,10000,2,3,6,5.0,9994.0
rdt,Dose_F2_1,Dose_F3_2,0.0007727274197186274,0.00014489256622967757,0.001069921105911753,1.160210265105377e-05,0.0010815232085628068,0.013469666664459501,0.028728700329684845,9998,3,2,5,4.0,9993.0
rdt,nb_f2,Dose_F2_1,0.00022735231906161434,0.0007727274197186274,0.0010053267512952768,6.69610753045724e-05,0.0010722878265998492,0.01810598134789662,0.05713965085955633,10000,2,3,6,5.0,9994.0
rdt,type_f2_1,type_f2_2,1.8295548649365763e-05,0.00029318682449008094,0.00035320242146841263,0.0006990518447713701,0.0010522542662397827,0.739856586306987,0.7859492441727314,10000,4,4,16,15.0,9984.0
rdt,type_f3_1,Dose_F2_1,0.0005398501670989884,0.0007727274197186274,0.0007656948703453903,0.0002694101326776721,0.0010351050030230624,0.1767312677544221,0.24204678435612242,9989,4,3,9,8.0,9980.0
rdt,nb_f2,Date_F1,0.00022735231906161434,0.0002616503214622498,0.0005568883385451695,0.0004774248672734238,0.0010343132058185933,0.23379882383331863,0.16996557725382164,10000,2,4,8,7.0,9992.0
rdt,type_f1_1,Dose_F1_2,0.0007008623127864762,4.9539639655470464e-08,0.0007008707757699684,0.0003143315962701454,0.0010152023720401138,0.13544707225630467,0.18014433932978008,10000,4,2,8,7.0,9992.0
rdt,type_f1_1,Date_F3,0.0007008623127864762,4.218163027702773e-06,0.0007043659826510007,0.0002978690533382844,0.001002235035989285,0.13361643214621027,0.1873380260181015,10000,4,2,8,7.0,9992.0
