point_idx,run,parcelle,n_ferti,nb_prepa,Date_Semis,Delta_PREPA_Semis,Profondeur_Semis,Profondeur_Prepa_1,Profondeur_Prepa_2,Date_F1,Date_F2,Date_F3,Date_Recolte,Dose_F1,Dose_F2,Dose_F3,N_lixi,dCorg,rdt
300,smt_003,beauce_5_sa_000,2,1,64.01402351013175,-27.694775337765332,1.954720115036663,21.787879868749172,13.0,140.95075423387073,256.2607099413269,294.0,327.7552412305543,4.1048356764394365,48.12864096797385,10.0,1.968,-305.92600000000004,7.8100000000000005
301,smt_003,beauce_5_sa_001,0,2,96.33700878046544,-22.947675604359105,2.9031362012122797,18.10153872932812,6.964187755724195,158.0,237.5,294.0,342.0188666485812,10.0,10.0,10.0,2.434,-424.38500000000005,5.2844444444444445
302,smt_003,beauce_5_sa_002,3,0,59.08591256100972,-24.0,2.530408242195689,13.0,13.0,160.347491089856,242.6156883759738,310.05628233068745,361.5910005143298,2.517442681983431,33.111275401557606,30.154001069814136,7.598999999999999,-369.15,8.063333333333333
303,smt_003,beauce_5_sa_003,3,2,60.87817377572243,-23.79004071243644,1.229219365274083,2.6562964881706836,7.432246509739974,120.45351417978996,224.5886918711328,320.584581011497,373.25577544254406,45.94534905290691,3.240185227061544,2.6173716021548303,7.757,-366.269,7.703333333333333
304,smt_003,beauce_5_sa_004,1,2,99.91451862107203,-31.321715476488997,2.4303606136705027,1.7644657498700829,6.343937295906267,107.23432627830022,237.5,294.0,338.53959766964584,10.739401577329676,10.0,10.0,3.096,-432.48,6.026666666666667
305,smt_003,beauce_5_sa_005,1,2,67.58892550589624,-29.081791571858005,1.1254189954070712,18.893824551130457,16.113255990884884,164.4241851910266,237.5,294.0,343.2124588528279,1.6681622837915873,10.0,10.0,1.484,-435.645,5.587777777777777
306,smt_003,beauce_5_sa_006,0,0,99.09077559543218,-24.0,1.9639186455562347,13.0,13.0,158.0,237.5,294.0,325.6483815971017,10.0,10.0,10.0,6.425,-446.04499999999996,4.8566666666666665
307,smt_003,beauce_5_sa_007,3,0,104.6074360338176,-24.0,3.6435402832507378,13.0,13.0,152.7969978229405,259.6705862916367,270.2960554898154,365.7907007171548,1.26530362706557,27.432128675317667,5.217884973811284,4.64,-408.306,7.08
308,smt_003,beauce_5_sa_008,2,0,84.88351803317386,-24.0,2.134499657283336,13.0,13.0,167.52066003208287,224.66678448329603,294.0,344.2535078494474,16.879787326109422,79.87521652090192,10.0,4.383,-263.681,8.816666666666666
309,smt_003,beauce_5_sa_009,3,0,72.3168801336589,-24.0,1.5813910926239436,13.0,13.0,168.71932117498773,240.26407354575235,276.4921939535675,333.27205247765966,71.65834234220235,4.0599231088850845,1.5609495795133426,6.228,-407.084,8.681111111111111
310,smt_003,beauce_5_sa_010,2,0,69.46722671423522,-24.0,2.0558451309653787,13.0,13.0,129.52381199643378,248.64005954293995,294.0,354.21716518128187,65.30433814711509,32.508164637396035,10.0,9.495999999999999,-305.74899999999997,8.80888888888889
311,smt_003,beauce_5_sa_011,1,0,52.86982254155909,-24.0,2.2206016436959697,13.0,13.0,168.27956581360434,237.5,294.0,330.84968363318995,8.0884329591569,10.0,10.0,2.8810000000000002,-423.533,5.766666666666667
312,smt_003,beauce_5_sa_012,1,2,52.6410721126046,-32.29665839792128,3.251741010173685,7.060529267143673,14.8850476368173,138.9387644156751,237.5,294.0,370.3353388333787,96.63623211954084,10.0,10.0,8.447,-284.21799999999996,8.776666666666667
313,smt_003,beauce_5_sa_013,1,1,105.62719695200582,-8.364602436981706,3.331114146029398,2.341109357693748,13.0,133.04517587922984,237.5,294.0,325.4437624236951,16.210223780079488,10.0,10.0,7.839,-433.93,5.773333333333333
314,smt_003,beauce_5_sa_014,2,1,67.25047962487733,-29.934695052891037,3.0774242309667077,19.053905795978324,13.0,108.50782924496131,224.77088332683903,294.0,355.95722686152675,1.5707068424451431,29.499675104474388,10.0,1.8779999999999997,-367.476,7.068888888888889
315,smt_003,beauce_5_sa_015,1,1,98.17210196483477,-36.60873519369586,1.0399978488306665,18.84247818245891,13.0,199.77291356185657,237.5,294.0,365.61280618912184,1.3472937247718424,10.0,10.0,2.412,-445.53499999999997,5.552222222222222
316,smt_003,beauce_5_sa_016,0,2,62.52890473587306,-32.78714785951967,2.933625053037755,22.25783512538817,2.308471739825856,158.0,237.5,294.0,329.87297870761086,10.0,10.0,10.0,1.5050000000000001,-427.759,5.442222222222222
317,smt_003,beauce_5_sa_017,0,0,93.21430488567673,-24.0,1.1882431757879748,13.0,13.0,158.0,237.5,294.0,381.3695356066302,10.0,10.0,10.0,4.8660000000000005,-483.04499999999996,5.402222222222222
318,smt_003,beauce_5_sa_018,1,0,52.067127432819746,-24.0,1.247580844818699,13.0,13.0,121.89721327298588,237.5,294.0,362.8589778538782,41.93598560045549,10.0,10.0,6.904000000000001,-423.66099999999994,7.496666666666666
319,smt_003,beauce_5_sa_019,0,0,87.33002293242652,-24.0,2.3621360925227357,13.0,13.0,158.0,237.5,294.0,357.8422442926909,10.0,10.0,10.0,3.607,-473.581,5.441111111111111
320,smt_003,beauce_5_sa_020,3,1,78.8003044412549,-4.463513769173588,3.6090636138191625,20.363357876641047,13.0,137.82600577152917,226.10412300918497,320.41740130939417,334.728143032026,5.996668029702769,95.31880734959384,14.243971883521787,5.273,-169.413,8.905555555555557
321,smt_003,beauce_5_sa_021,1,1,64.55479714864563,-32.484576447430925,2.1853614737463585,15.47630180136888,13.0,165.89988449383674,237.5,294.0,370.44310886174304,54.0090722577084,10.0,10.0,3.471,-337.442,7.86888888888889
322,smt_003,beauce_5_sa_022,2,1,70.42788210512344,-7.309891198260878,2.964293314667572,19.998325336029104,13.0,107.04762619786656,243.31853086628035,294.0,357.7471669511425,28.35024716194596,15.339680198279812,10.0,4.9879999999999995,-383.033,7.475555555555555
323,smt_003,beauce_5_sa_023,3,2,77.80632570460799,-10.632078058025732,3.1212620649616674,5.753089472155001,22.35135906612397,135.15527199892318,236.8065064565536,301.1754070467325,348.8086476865009,10.541223117762527,2.891824364932359,33.56580526111522,4.382,-339.848,7.512222222222222
324,smt_003,beauce_5_sa_024,0,1,46.193812360013354,-21.125599732989297,2.4018752255408797,16.76577541337074,13.0,158.0,237.5,294.0,350.50340360688494,10.0,10.0,10.0,2.181,-452.658,5.424444444444444
325,smt_003,beauce_5_sa_025,0,0,49.02732778746111,-24.0,2.899461757457365,13.0,13.0,158.0,237.5,294.0,377.2949865340184,10.0,10.0,10.0,4.756,-516.542,5.527777777777778
326,smt_003,beauce_5_sa_026,3,0,98.61426804955067,-24.0,3.7440202378669993,13.0,13.0,157.1577904359002,247.71848878054908,299.5308715123674,328.93568442753144,3.326352408368882,4.643233323836303,1.2510957827943043,6.351,-459.355,5.626666666666667
327,smt_003,beauce_5_sa_027,0,1,49.14002238913212,-42.12749658969919,1.1845849832155635,22.737621072212413,13.0,158.0,237.5,294.0,361.853243195419,10.0,10.0,10.0,1.637,-449.66999999999996,5.516666666666667
