sortie,parametre_1,parametre_2,R2_interaction,R2_cellules,R2_additif,n,n_cellules
N_lixi,type_f2_2,type_f3_2,0.09334067492755205,0.19832269354102028,0.10498201861346823,60,9
N_lixi,type_f1_2,Dose_F3_2,0.09304076677761564,0.1299981250065635,0.036957358228947856,60,12
N_lixi,prepa_1,Jours_F1_F2,0.09292713140348352,0.1765973095157366,0.08367017811225308,60,12
N_lixi,type_f1_2,Dose_F1_1,0.09282813905729392,0.13941155004911943,0.0465834109918255,60,12
N_lixi,nb_f2,Jour_Semis,0.09235554082386599,0.9079867318090041,0.8156311909851381,60,12
N_lixi,type_f1_1,Jours_F1_F2,0.09113074025925161,0.17495693238109666,0.08382619212184506,60,12
N_lixi,Jour_Semis,Jours_F2_F3,0.09101459791532007,0.9030062547309885,0.8119916568156684,60,16
N_lixi,prepa_1,Dose_F3_2,0.0905078788757766,0.14667262258919223,0.05616474371341562,60,12
N_lixi,prepa_1,Dose_F2_2,0.09029710519859047,0.18457190833370207,0.0942748031351116,60,12
N_lixi,nb_f1,Dose_F1_1,0.0896711381032409,0.13986095733584514,0.05018981923260424,60,12
N_lixi,type_f2_2,Dose_F3_1,0.0879527623547095,0.2367082175822589,0.1487554552275494,60,12
N_lixi,Jour_Semis,Dose_F3_2,0.08778662597806519,0.8943253541387295,0.8065387281606643,60,15
N_lixi,type_f2_2,Dose_F1_1,0.08771913425002242,0.1754409498500047,0.08772181559998227,60,12
N_lixi,Jour_Semis,Dose_F1_2,0.08696412191355996,0.8890134613825142,0.8020493394689543,60,16
N_lixi,type_f3_1,Dose_F3_2,0.08547481357036213,0.1640483975441327,0.07857358397377057,60,12
N_lixi,n_ferti,Dose_F3_2,0.08540433930934865,0.12769708662669943,0.042292747317350776,60,12
N_lixi,nb_prepa,Dose_F1_2,0.08404085910506087,0.13438639253051343,0.05034553342545256,60,12
N_lixi,prepa_1,Jours_F2_F3,0.08316006157195943,0.19734313360176314,0.11418307202980371,60,12
N_lixi,type_f1_2,type_f3_2,0.083134442589195,0.09507639090525766,0.011941948316062656,60,9
N_lixi,has_prepa,Dose_F1_2,0.0830628973829397,0.12240847569112667,0.03934557830818697,60,12
N_lixi,has_prepa,type_f1_1,0.0827373485236429,0.10504584830040653,0.022308499776763635,60,9
N_lixi,nb_prepa,Jours_semis_F1,0.08178910154015984,0.16506367962742607,0.08327457808726624,60,12
N_lixi,Jours_F2_F3,Dose_F1_1,0.08153171240667034,0.2082247485043046,0.12669303609763427,60,15
N_lixi,type_f2_2,Jours_av_PREPA,0.08048699843510887,0.2236047605796081,0.14311776214449923,60,12
